z1,z2,ewlow,ewhigh,N,Ncomp,fN,fNcomp,fp_com,TN    
2.0, 3.0  ,  0.0, 0.3  ,  5.0, 10.349 ,   3.0, 5.251,    0.4926,   5.0979174  
3.0, 4.0  ,  0.0, 0.3  ,  2.0,  7.673 ,   0.0, 0.0  ,    1.0   ,   7.6729     
4.0, 5.5 ,  0.0, 0.3  ,  3.0, 21.936 ,   3.0, 7.573,    0.6547,  14.3614992  
2.0, 3.0  ,  0.3, 0.6  ,  4.0, 5.034  ,   1.0, 1.162,    0.7691,   3.8716494  
3.0, 4.0  ,  0.3, 0.6  ,  3.0, 3.810  ,   2.0, 2.413,    0.3666,   1.396746   
4.0, 5.5 ,  0.3, 0.6  ,  3.0, 3.626  ,   1.0, 1.008,    0.722 ,   2.617972   
2.0, 3.0  ,  0.3, 1.0  ,  4.0, 5.034  ,   1.0, 1.162,    0.7691,   3.8716494  
3.0, 4.0  ,  0.3, 1.0  ,  3.0, 3.810  ,   2.0, 2.413,    0.3666,   1.396746   
4.0, 5.5 ,  0.3, 1.0  ,  4.0, 4.650  ,   2.0, 2.015,    0.5666,   2.63469    
2.0, 3.0  ,  0.0, 1.0  ,  9.0, 14.512 ,   4.0, 6.227,    0.5709,   8.2849008  
3.0, 4.0  ,  0.0, 1.0  ,  5.0,  8.627 ,   2.0, 2.413,    0.7202,   6.2131654  
4.0, 5.5 ,  0.0, 1.0  ,  7.0, 12.613 ,   5.0, 7.897,    0.3738,   4.7147394  
2.0, 3.0  ,  1.0, 4.0  ,  3.0, 3.321  ,   2.0, 2.209,    0.3348,   1.1118708  
3.0, 4.0  ,  1.0, 4.0  ,  1.0, 1.052  ,   0.0, 0.0  ,    1.0   ,   1.052      
4.0, 5.5 ,  1.0, 4.0  ,  3.0, 3.000  ,   1.0, 1.0  ,    0.6666,   1.9998     
2.0, 3.0  ,  0.0, 4.0  , 12.0, 17.409 ,   6.0, 8.230,    0.5272,   9.1780248  
3.0, 4.0  ,  0.0, 4.0  , 6.0 ,  9.382 ,   2.0, 2.413,    0.7428,   6.9689496  
4.0, 5.5 ,  0.0, 4.0  , 10.0, 14.579 ,   6.0, 8.646,    0.4069,   5.9321951  

